name,verbatim_name,location_name,lat,lon,place,date,usageKey,acceptedUsageKey,scientificName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,occurrenceID,basisOfRecord,occurrenceStatus,verbatimLocality,decimalLatitude,decimalLongitude
Lycopodium selago L.,Lycopodium selago L.,Myggbukt,73.4906798153458,-21.5601111537396,date4,1930-07-31T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:2603531aeef679ed4940d7cfcb5af5f8,HumanObservation,presence,Myggbukt,73.4906798153458,-21.5601111537396
Lycopodium selago L.,Lycopodium selago L.,Myggbukt,73.4906798153458,-21.5601111537396,date5,1930-08-01T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:ae3ebdb6d0c7f3cb248deebd1211d094,HumanObservation,presence,Myggbukt,73.4906798153458,-21.5601111537396
Lycopodium selago L.,Lycopodium selago L.,Myggbukt,73.4906798153458,-21.5601111537396,date7,1930-08-02T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:e7af609521aac3e80f592a70bd9a7d64,HumanObservation,presence,Myggbukt,73.4906798153458,-21.5601111537396
Lycopodium selago L.,Lycopodium selago L.,Vassdale,73.5635775481642,-22.6881231880706,date1,1929-08-19T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:cbac2c6fe1574b87857790edae522655,HumanObservation,presence,Vassdale,73.5635775481642,-22.6881231880706
Lycopodium selago L.,Lycopodium selago L.,Ankerplassen,73.6082820386396,-22.4723543510409,date1,1929-08-18T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:f2cc90a823b56d596bc8fcbbfc885762,HumanObservation,presence,Ankerplassen,73.6082820386396,-22.4723543510409
Lycopodium selago L.,Lycopodium selago L.,Ankerplassen,73.6082820386396,-22.4723543510409,date2,1930-08-06T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:76e2a60ea51dc383c5e62e310bac8fbb,HumanObservation,presence,Ankerplassen,73.6082820386396,-22.4723543510409
Lycopodium selago L.,Lycopodium selago L.,Daudmannsoyra,74.1219851589978,-20.8863501972072,date1,1930-07-28T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:2d5da766576da38ba816509e5ebf156a,HumanObservation,presence,Daudmannsoyra,74.1219851589978,-20.8863501972072
Lycopodium selago L.,Lycopodium selago L.,Soppbukt,74.1545727187855,-21.5238224543617,date1,1930-07-27T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:f98fa97ec9e26e213544fa62c8b09c60,HumanObservation,presence,Soppbukt,74.1545727187855,-21.5238224543617
Lycopodium selago L.,Lycopodium selago L.,Soppbukt,74.1545727187855,-21.5238224543617,date2,1930-07-28T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:e786d7d6f8b3fee80e313319bf5fe4c5,HumanObservation,presence,Soppbukt,74.1545727187855,-21.5238224543617
Lycopodium selago L.,Lycopodium selago L.,At Reve,74.3232971146432,-21.8551961226729,date1,1930-07-23T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:692f2fc885a76029f2630b6468f1293e,HumanObservation,presence,At Reve,74.3232971146432,-21.8551961226729
