name,verbatim_name,verbatimLocality,decimalLatitude,decimalLongitude,place,date,usageKey,acceptedUsageKey,scientificName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,occurrenceID,basisOfRecord,occurrenceStatus,year,month,day,InstitutionID,InstitutionCode,Geodetic_datum,continent,country,countryCode,locationID,geodeticDatum
Lycopodium selago L.,Lycopodium selago L.,Kapp Bennet,73.3780209423858,-21.6827238027962,date2,1929-08-20T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:b29d12c42c79c950c0d1306b1e48cd0e,HumanObservation,presence,1929,8,20,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO,wgs84
Lycopodium selago L.,Lycopodium selago L.,Myggbukt,73.4906798153458,-21.5601111537396,date1,1929-08-01T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:cc8a5710affe094f3da01fa228c4004b,HumanObservation,presence,1929,8,1,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO,wgs84
Lycopodium selago L.,Lycopodium selago L.,Myggbukt,73.4906798153458,-21.5601111537396,date2,1929-08-02T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:0c9619692a22d3111cfaf272b237939a,HumanObservation,presence,1929,8,2,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO,wgs84
Lycopodium selago L.,Lycopodium selago L.,Myggbukt,73.4906798153458,-21.5601111537396,date3,1930-07-30T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:6488b05a0e867c968a48fda12bb7c964,HumanObservation,presence,1930,7,30,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO,wgs84
Lycopodium selago L.,Lycopodium selago L.,Myggbukt,73.4906798153458,-21.5601111537396,date4,1930-07-31T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:6e80eff1a885fee8ff451537d702c373,HumanObservation,presence,1930,7,31,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO,wgs84
Lycopodium selago L.,Lycopodium selago L.,Myggbukt,73.4906798153458,-21.5601111537396,date5,1930-08-01T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:b2a23259797f11e77c39da9154f5c2a0,HumanObservation,presence,1930,8,1,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO,wgs84
Lycopodium selago L.,Lycopodium selago L.,Myggbukt,73.4906798153458,-21.5601111537396,date7,1930-08-02T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:3296d75559ff5b4f7df543df4ca94536,HumanObservation,presence,1930,8,2,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO,wgs84
Lycopodium selago L.,Lycopodium selago L.,Vassdale,73.5635775481642,-22.6881231880706,date1,1929-08-19T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:64a858a0ed99d9e04a361100b40c06ea,HumanObservation,presence,1929,8,19,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO,wgs84
Lycopodium selago L.,Lycopodium selago L.,Ankerplassen,73.6082820386396,-22.4723543510409,date1,1929-08-18T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:fc306c1be70cad06f257412abcaa731a,HumanObservation,presence,1929,8,18,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO,wgs84
Lycopodium selago L.,Lycopodium selago L.,Ankerplassen,73.6082820386396,-22.4723543510409,date2,1930-08-06T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:a74e45ab844bdc48a85ae43b3935d561,HumanObservation,presence,1930,8,6,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO,wgs84
